Date,brent,gasoil
2009-01-02,46.91,57.4161073826
2009-01-05,49.62,64.2617449664
2009-01-06,50.53,69.0604026846
2009-01-07,45.86,67.1812080537
2009-01-08,44.67,64.1946308725
2009-01-09,44.42,61.0402684564
2009-01-12,42.91,61.0402684564
2009-01-13,44.83,64.0268456376
2009-01-14,45.08,61.4093959732
2009-01-15,44.69,61.4429530201
2009-01-16,46.57,62.2147651007
2009-01-19,44.5,58.7248322148
2009-01-20,43.62,60.0
2009-01-21,45.02,57.6174496644
2009-01-22,45.39,56.4765100671
2009-01-23,48.37,55.9395973154
2009-01-26,46.96,61.2080536913
2009-01-27,43.73,57.6510067114
2009-01-28,44.9,58.8255033557
2009-01-29,45.4,59.4630872483
2009-01-30,45.88,60.3355704698
2009-02-02,43.82,57.5838926174
2009-02-03,44.08,56.744966443
2009-02-04,44.15,56.711409396
2009-02-05,46.46,56.1744966443
2009-02-06,46.21,55.6040268456
2009-02-09,46.02,58.5234899329
2009-02-10,44.61,57.3825503356
2009-02-11,44.28,55.2348993289
2009-02-12,44.65,55.2348993289
2009-02-13,44.81,55.1342281879
2009-02-16,43.28,53.4563758389
2009-02-17,41.03,50.8724832215
2009-02-18,39.55,49.0268456376
2009-02-19,41.99,49.7651006711
2009-02-20,41.89,48.8590604027
2009-02-23,40.99,50.4026845638
2009-02-24,42.5,50.033557047
2009-02-25,44.29,50.5704697987
2009-02-26,46.51,53.7248322148
2009-02-27,46.35,51.8791946309
2009-03-02,42.21,49.1275167785
2009-03-03,43.7,48.4899328859
2009-03-04,46.12,51.3087248322
2009-03-05,43.64,49.1275167785
2009-03-06,44.85,48.9597315436
2009-03-09,44.13,51.3087248322
2009-03-10,43.96,51.5771812081
2009-03-11,41.4,48.7919463087
2009-03-12,45.09,48.7919463087
2009-03-13,44.93,52.3489932886
2009-03-16,43.98,51.1744966443
2009-03-17,48.24,53.6577181208
2009-03-18,47.66,53.9597315436
2009-03-19,50.67,57.4161073826
2009-03-20,51.22,58.4899328859
2009-03-23,53.47,62.7516778523
2009-03-24,53.5,62.8523489933
2009-03-25,51.75,62.5167785235
2009-03-26,53.46,62.1812080537
2009-03-27,51.98,61.1073825503
2009-03-30,47.99,58.9597315436
2009-03-31,49.23,56.3758389262
2009-04-01,48.44,55.6040268456
2009-04-02,52.75,60.5369127517
2009-04-03,53.47,59.5302013423
2009-04-06,52.24,59.0939597315
2009-04-07,51.22,59.0268456376
2009-04-08,51.59,59.0268456376
2009-04-09,54.06,60.7718120805
2009-04-13,52.14,58.5234899329
2009-04-14,51.96,60.6375838926
2009-04-15,51.79,60.067114094
2009-04-16,53.06,61.3422818792
2009-04-17,53.35,61.5436241611
2009-04-20,49.86,57.8523489933
2009-04-21,49.82,57.5838926174
2009-04-22,49.81,56.9463087248
2009-04-23,50.11,56.5100671141
2009-04-24,51.67,58.1208053691
2009-04-27,50.32,56.5100671141
2009-04-28,49.99,56.3422818792
2009-04-29,50.78,57.3825503356
2009-04-30,50.8,57.4496644295
2009-05-01,52.85,58.7583892617
2009-05-04,54.58,60.3691275168
2009-05-05,54.12,60.3355704698
2009-05-06,56.15,62.0134228188
2009-05-07,56.47,64.0604026846
2009-05-08,58.14,64.0268456376
2009-05-11,57.48,63.8255033557
2009-05-12,57.94,63.8255033557
2009-05-13,57.34,64.932885906
2009-05-14,56.69,63.4563758389
2009-05-15,55.98,62.7516778523
2009-05-18,58.47,62.5838926174
2009-05-19,58.92,63.0536912752
2009-05-20,60.59,64.6308724832
2009-05-21,59.93,63.9932885906
2009-05-22,60.78,64.3624161074
2009-05-25,60.21,64.3959731544
2009-05-26,61.24,64.5973154362
2009-05-27,62.5,65.4362416107
2009-05-28,64.39,67.7181208054
2009-05-29,65.52,70.2013422819
2009-06-01,67.97,72.2483221477
2009-06-02,68.17,74.6979865772
2009-06-03,65.88,72.8523489933
2009-06-04,68.71,74.3959731544
2009-06-05,68.34,73.7248322148
2009-06-08,67.88,73.255033557
2009-06-09,69.62,74.5302013423
2009-06-10,70.8,75.7718120805
2009-06-11,71.79,75.7718120805
2009-06-12,70.92,78.1208053691
2009-06-15,69.44,76.5771812081
2009-06-16,70.24,79.0604026846
2009-06-17,70.85,77.7181208054
2009-06-18,71.06,78.5234899329
2009-06-19,69.19,78.288590604
2009-06-22,66.98,73.5570469799
2009-06-23,68.8,73.8590604027
2009-06-24,68.33,75.7718120805
2009-06-25,69.78,76.2416107383
2009-06-26,68.92,74.8322147651
2009-06-29,70.99,76.4765100671
2009-06-30,69.3,74.7651006711
2009-07-01,68.79,74.7651006711
2009-07-02,66.65,71.8456375839
2009-07-03,65.61,71.0402684564
2009-07-06,64.05,69.4295302013
2009-07-07,63.23,67.7516778523
2009-07-08,60.43,65.5704697987
2009-07-09,61.1,64.932885906
2009-07-10,60.52,64.932885906
2009-07-13,60.69,64.8993288591
2009-07-14,60.86,65.9395973154
2009-07-15,63.09,67.4832214765
2009-07-16,62.75,69.1946308725
2009-07-17,65.38,70.6711409396
2009-07-20,66.44,72.2818791946
2009-07-21,66.87,74.1275167785
2009-07-22,67.21,73.355704698
2009-07-23,69.25,75.5369127517
2009-07-24,70.32,76.3087248322
2009-07-27,70.81,77.1812080537
2009-07-28,69.88,75.8053691275
2009-07-29,66.53,72.8859060403
2009-07-30,70.11,75.8053691275
2009-07-31,71.7,76.5771812081
2009-08-03,73.55,79.3959731544
2009-08-04,74.28,79.966442953
2009-08-05,75.51,81.4765100671
2009-08-06,74.83,82.0134228188
2009-08-07,73.59,81.5436241611
2009-08-10,73.5,81.2751677852
2009-08-11,72.46,79.7651006711
2009-08-12,72.89,79.7651006711
2009-08-13,73.48,81.610738255
2009-08-14,72.41,79.2281879195
2009-08-17,70.54,76.4429530201
2009-08-18,72.37,78.1543624161
2009-08-19,74.59,80.6040268456
2009-08-20,73.33,81.0402684564
2009-08-21,74.19,80.7718120805
2009-08-24,74.26,81.9463087248
2009-08-25,71.82,80.9395973154
2009-08-26,71.65,77.9530201342
2009-08-27,72.51,77.9865771812
2009-08-28,72.79,80.1006711409
2009-08-31,69.65,75.5369127517
2009-09-01,67.73,76.0067114094
2009-09-02,67.66,74.5973154362
2009-09-03,67.12,73.6577181208
2009-09-04,66.82,72.2818791946
2009-09-07,66.53,73.322147651
2009-09-08,69.42,76.1744966443
2009-09-09,69.83,76.5436241611
2009-09-10,69.86,76.5436241611
2009-09-11,67.69,75.7382550336
2009-09-14,67.44,74.0604026846
2009-09-15,67.35,74.0939597315
2009-09-16,71.67,75.5033557047
2009-09-17,71.55,78.7583892617
2009-09-18,71.32,77.7181208054
2009-09-21,68.69,75.067114094
2009-09-22,70.53,76.7785234899
2009-09-23,67.99,74.8322147651
2009-09-24,64.82,72.3825503356
2009-09-25,65.11,71.744966443
2009-09-28,65.54,72.7852348993
2009-09-29,65.49,72.1140939597
2009-09-30,69.07,74.0939597315
2009-10-01,69.19,75.5704697987
2009-10-02,68.07,74.3959731544
2009-10-05,68.04,73.0536912752
2009-10-06,68.56,76.3087248322
2009-10-07,67.2,75.3691275168
2009-10-08,69.77,75.7382550336
2009-10-09,70.0,76.9463087248
2009-10-12,71.36,76.9463087248
2009-10-13,72.4,80.1342281879
2009-10-14,73.1,81.3087248322
2009-10-15,74.45,82.6845637584
2009-10-16,76.99,83.9261744966
2009-10-19,77.77,84.966442953
2009-10-20,77.24,85.5704697987
2009-10-21,79.69,87.1140939597
2009-10-22,79.51,87.7516778523
2009-10-23,78.92,86.5436241611
2009-10-26,77.26,85.4362416107
2009-10-27,77.92,86.0067114094
2009-10-28,75.86,83.8590604027
2009-10-29,78.04,86.4429530201
2009-10-30,75.2,83.8590604027
2009-11-02,76.55,84.1946308725
2009-11-03,78.11,83.9261744966
2009-11-04,78.89,86.0402684564
2009-11-05,77.99,85.8724832215
2009-11-06,75.87,81.5100671141
2009-11-09,77.77,84.4295302013
2009-11-10,77.5,84.3624161074
2009-11-11,77.95,83.8590604027
2009-11-12,76.02,83.8590604027
2009-11-13,75.55,82.0134228188
2009-11-16,78.76,84.3624161074
2009-11-17,78.97,84.7315436242
2009-11-18,79.47,86.3087248322
2009-11-19,77.64,83.355704698
2009-11-20,77.2,81.7785234899
2009-11-23,77.46,84.3288590604
2009-11-24,76.46,80.7718120805
2009-11-25,78.44,81.7785234899
2009-11-26,76.99,81.9798657718
2009-11-27,77.18,81.2080536913
2009-11-30,78.47,82.4496644295
2009-12-01,79.35,85.033557047
2009-12-02,77.88,82.8859060403
2009-12-03,78.36,83.255033557
2009-12-04,77.52,83.4563758389
2009-12-07,76.43,81.7785234899
2009-12-08,75.19,80.8053691275
2009-12-09,72.39,79.932885906
2009-12-10,71.86,79.932885906
2009-12-11,71.88,78.1208053691
2009-12-14,71.89,78.9597315436
2009-12-15,72.05,79.2281879195
2009-12-16,73.55,80.9731543624
2009-12-17,73.37,79.4295302013
2009-12-18,73.75,79.8993288591
2009-12-21,72.99,80.7718120805
2009-12-22,73.46,78.7583892617
2009-12-23,75.45,82.0134228188
2009-12-24,76.31,81.4765100671
2009-12-28,77.32,84.2617449664
2009-12-29,77.64,84.4966442953
2009-12-30,78.03,85.4026845638
2009-12-31,77.93,85.3020134228
2010-01-04,80.12,87.7516778523
2010-01-05,80.59,88.4899328859
2010-01-06,81.89,88.8255033557
2010-01-07,81.51,88.6241610738
2010-01-08,81.37,88.0872483221
2010-01-11,80.97,88.1879194631
2010-01-12,79.3,88.1879194631
2010-01-13,78.31,85.3691275168
2010-01-14,77.82,85.4026845638
2010-01-15,77.11,84.5637583893
2010-01-18,77.1,83.6912751678
2010-01-19,77.63,82.6174496644
2010-01-20,76.32,82.4496644295
2010-01-21,74.58,82.1812080537
2010-01-22,72.83,80.2013422819
2010-01-25,73.69,79.7651006711
2010-01-26,73.29,80.033557047
2010-01-27,72.24,80.1677852349
2010-01-28,72.13,78.322147651
2010-01-29,71.46,78.7248322148
2010-02-01,73.11,78.7248322148
2010-02-02,76.06,80.8389261745
2010-02-03,75.92,82.8523489933
2010-02-04,72.13,78.9597315436
2010-02-05,69.59,77.2147651007
2010-02-08,70.11,76.1409395973
2010-02-09,72.13,76.8456375839
2010-02-10,72.54,77.4161073826
2010-02-11,73.05,77.4161073826
2010-02-12,72.9,78.355704698
2010-02-15,72.51,78.389261745
2010-02-16,75.68,82.0469798658
2010-02-17,76.27,82.0134228188
2010-02-18,77.78,83.8255033557
2010-02-19,78.19,84.6979865772
2010-02-22,78.61,85.5369127517
2010-02-23,77.25,84.3959731544
2010-02-24,78.09,84.6644295302
2010-02-25,76.29,82.2483221477
2010-02-26,77.59,84.3959731544
2010-03-01,76.89,85.067114094
2010-03-02,78.18,85.6375838926
2010-03-03,79.25,86.7785234899
2010-03-04,78.54,86.1744966443
2010-03-05,79.89,87.4496644295
2010-03-08,80.47,87.1476510067
2010-03-09,79.91,87.2818791946
2010-03-10,80.48,89.2281879195
2010-03-11,80.28,89.2281879195
2010-03-12,79.39,89.3624161074
2010-03-15,77.89,87.1476510067
2010-03-16,79.02,90.2348993289
2010-03-17,81.96,90.7046979866
2010-03-18,81.48,90.4362416107
2010-03-19,79.88,88.4228187919
2010-03-22,80.54,88.8926174497
2010-03-23,80.7,89.966442953
2010-03-24,79.62,88.6912751678
2010-03-25,79.61,89.1610738255
2010-03-26,79.29,88.6241610738
2010-03-29,81.17,91.2080536913
2010-03-30,81.28,90.5369127517
2010-03-31,82.7,91.7785234899
2010-04-01,84.01,94.4966442953
2010-04-05,85.88,96.7785234899
2010-04-06,86.15,97.4161073826
2010-04-07,85.59,96.1409395973
2010-04-08,84.81,95.1006711409
2010-04-09,84.83,95.2348993289
2010-04-12,84.77,95.2348993289
2010-04-13,84.72,93.9597315436
2010-04-14,86.15,95.9060402685
2010-04-15,87.17,96.0738255034
2010-04-16,85.99,94.6979865772
2010-04-19,84.23,92.3154362416
2010-04-20,84.8,94.0268456376
2010-04-21,85.7,94.0604026846
2010-04-22,85.67,94.6979865772
2010-04-23,87.25,96.4429530201
2010-04-26,86.83,96.5771812081
2010-04-27,85.78,96.5100671141
2010-04-28,86.16,95.3355704698
2010-04-29,86.9,97.7516778523
2010-04-30,87.44,98.2214765101
2010-05-03,88.94,99.7986577181
2010-05-04,85.67,97.2147651007
2010-05-05,82.61,93.8255033557
2010-05-06,79.83,91.677852349
2010-05-07,78.27,88.288590604
2010-05-10,80.12,90.1677852349
2010-05-11,80.49,90.9060402685
2010-05-12,81.2,90.9060402685
2010-05-13,80.11,91.644295302
2010-05-14,77.18,88.8926174497
2010-05-17,75.1,85.5369127517
2010-05-18,74.43,85.6711409396
2010-05-19,73.69,82.9194630872
2010-05-20,71.84,80.7718120805
2010-05-21,71.68,81.9127516779
2010-05-24,71.17,81.1073825503
2010-05-25,69.55,79.5302013423
2010-05-26,71.74,81.744966443
2010-05-27,74.66,84.966442953
2010-05-28,74.02,85.3691275168
2010-05-31,74.65,85.6040268456
2010-06-01,72.71,85.8724832215
2010-06-02,73.75,85.5033557047
2010-06-03,75.41,85.7046979866
2010-06-04,72.09,84.0939597315
2010-06-07,72.12,83.355704698
2010-06-08,72.3,83.8926174497
2010-06-09,74.27,85.8724832215
2010-06-10,75.29,85.8724832215
2010-06-11,74.35,85.8724832215
2010-06-14,75.2,87.6174496644
2010-06-15,76.2,87.9194630872
2010-06-16,78.14,88.9597315436
2010-06-17,78.68,91.8456375839
2010-06-18,78.22,91.4093959732
2010-06-21,78.82,92.6174496644
2010-06-22,78.04,91.610738255
2010-06-23,76.27,88.389261745
2010-06-24,76.47,88.1208053691
2010-06-25,78.12,89.2953020134
2010-06-28,77.59,90.0
2010-06-29,75.44,87.3489932886
2010-06-30,75.01,86.5436241611
2010-07-01,72.34,82.7852348993
2010-07-02,71.65,82.3825503356
2010-07-05,71.47,81.610738255
2010-07-06,71.45,83.6577181208
2010-07-07,73.51,84.0939597315
2010-07-08,74.71,85.9395973154
2010-07-09,75.42,86.4765100671
2010-07-12,74.37,86.4765100671
2010-07-13,76.65,87.6845637584
2010-07-14,76.77,87.4832214765
2010-07-15,76.19,85.5704697987
2010-07-16,75.37,85.7046979866
2010-07-19,75.62,87.0469798658
2010-07-20,76.22,86.8456375839
2010-07-21,75.37,85.5033557047
2010-07-22,77.82,87.6845637584
2010-07-23,77.45,87.4496644295
2010-07-26,77.5,87.9530201342
2010-07-27,76.13,86.1073825503
2010-07-28,76.06,85.7046979866
2010-07-29,77.59,87.3154362416
2010-07-30,78.18,87.0134228188
2010-08-02,80.82,91.2751677852
2010-08-03,82.68,92.7516778523
2010-08-04,82.2,93.0872483221
2010-08-05,81.61,92.3489932886
2010-08-06,80.16,91.1073825503
2010-08-09,80.99,91.3422818792
2010-08-10,79.6,89.8657718121
2010-08-11,77.64,87.5167785235
2010-08-12,75.52,87.5167785235
2010-08-13,75.11,85.4697986577
2010-08-16,74.85,84.966442953
2010-08-17,76.93,86.9798657718
2010-08-18,76.47,85.8053691275
2010-08-19,75.3,85.7046979866
2010-08-20,74.26,84.5973154362
2010-08-23,73.62,84.0268456376
2010-08-24,72.38,82.8523489933
2010-08-25,73.48,83.288590604
2010-08-26,75.02,85.8389261745
2010-08-27,76.65,86.3758389262
2010-08-30,76.6,86.7785234899
2010-08-31,74.64,86.0738255034
2010-09-01,76.35,86.644295302
2010-09-02,76.93,85.8724832215
2010-09-03,76.67,85.7718120805
2010-09-06,76.87,87.0134228188
2010-09-07,77.74,86.7785234899
2010-09-08,78.17,88.6577181208
2010-09-09,77.47,88.9597315436
2010-09-10,78.16,88.9597315436
2010-09-13,79.03,90.5033557047
2010-09-14,79.16,90.9060402685
2010-09-15,78.91,90.4026845638
2010-09-16,78.48,90.3020134228
2010-09-17,78.21,89.0604026846
2010-09-20,79.32,91.5771812081
2010-09-21,78.42,91.3087248322
2010-09-22,77.95,89.932885906
2010-09-23,78.11,90.9060402685
2010-09-24,78.87,91.644295302
2010-09-27,78.57,90.1006711409
2010-09-28,78.71,91.5436241611
2010-09-29,80.77,92.3154362416
2010-09-30,82.31,94.8657718121
2010-10-01,83.75,96.610738255
2010-10-04,83.28,97.5838926174
2010-10-05,84.84,97.1476510067
2010-10-06,85.06,98.4563758389
2010-10-07,83.43,96.7785234899
2010-10-08,84.03,96.8791946309
2010-10-11,83.72,97.0134228188
2010-10-12,83.5,97.0134228188
2010-10-13,84.64,97.3825503356
2010-10-14,84.53,97.1476510067
2010-10-15,82.45,95.5369127517
2010-10-18,84.37,96.0067114094
2010-10-19,81.1,94.4966442953
2010-10-20,83.6,94.7651006711
2010-10-21,81.83,94.5302013423
2010-10-22,82.96,93.9597315436
2010-10-25,83.54,95.3355704698
2010-10-26,83.66,95.3355704698
2010-10-27,83.23,93.4228187919
2010-10-28,83.59,95.033557047
2010-10-29,83.15,94.0604026846
2010-11-01,84.62,95.6040268456
2010-11-02,85.41,96.1409395973
2010-11-03,86.38,96.9463087248
2010-11-04,88.0,98.9932885906
2010-11-05,88.11,98.6912751678
2010-11-08,88.46,99.1275167785
2010-11-09,88.33,100.268456376
2010-11-10,88.96,101.10738255
2010-11-11,88.81,101.10738255
2010-11-12,86.34,99.6308724832
2010-11-15,86.7,99.1610738255
2010-11-16,84.73,97.1812080537
2010-11-17,83.28,95.7718120805
2010-11-18,85.05,96.0402684564
2010-11-19,84.34,94.6979865772
2010-11-22,83.96,94.0604026846
2010-11-23,83.25,93.9261744966
2010-11-24,85.84,96.5436241611
2010-11-25,86.1,97.8187919463
2010-11-26,85.58,96.9127516779
2010-11-29,87.34,98.5906040268
2010-11-30,85.92,97.8859060403
2010-12-01,88.87,98.6241610738
2010-12-02,90.69,100.738255034
2010-12-03,91.42,102.248322148
2010-12-06,91.45,102.818791946
2010-12-07,91.39,102.852348993
2010-12-08,90.77,101.644295302
2010-12-09,90.99,101.711409396
2010-12-10,90.48,101.711409396
2010-12-13,91.19,102.953020134
2010-12-14,91.21,102.718120805
2010-12-15,92.2,103.120805369
2010-12-16,91.71,103.255033557
2010-12-17,91.67,102.88590604
2010-12-20,92.74,102.583892617
2010-12-21,93.2,104.261744966
2010-12-22,93.65,104.832214765
2010-12-23,94.25,105.302013423
2010-12-24,93.77,104.563758389
2010-12-27,93.85,104.362416107
2010-12-28,94.38,104.731543624
2010-12-29,94.14,104.697986577
2010-12-30,93.09,102.785234899
2010-12-31,94.75,102.348993289
2011-01-03,94.84,106.409395973
2011-01-04,93.53,103.053691275
2011-01-05,95.5,104.362416107
2011-01-06,94.52,104.060402685
2011-01-07,93.33,103.22147651
2011-01-10,95.7,105.033557047
2011-01-11,97.61,106.644295302
2011-01-12,98.12,106.644295302
2011-01-13,98.06,108.791946309
2011-01-14,98.68,108.859060403
2011-01-17,97.43,108.724832215
2011-01-18,97.8,109.798657718
2011-01-19,98.16,110.234899329
2011-01-20,96.58,108.22147651
2011-01-21,97.6,109.261744966
2011-01-24,96.61,109.966442953
2011-01-25,95.25,107.248322148
2011-01-26,97.91,108.724832215
2011-01-27,97.39,109.66442953
2011-01-28,99.42,110.637583893
2011-01-31,101.01,112.147651007
2011-02-01,101.74,113.590604027
2011-02-02,102.34,115.167785235
2011-02-03,101.76,115.536912752
2011-02-04,99.83,113.187919463
2011-02-07,99.25,113.422818792
2011-02-08,99.92,114.060402685
2011-02-09,101.82,114.530201342
2011-02-10,100.87,114.530201342
2011-02-11,101.43,114.127516779
2011-02-14,103.08,116.979865772
2011-02-15,101.64,116.375838926
2011-02-16,103.78,116.476510067
2011-02-17,102.59,117.248322148
2011-02-18,102.52,115.536912752
2011-02-21,105.74,117.751677852
2011-02-22,105.78,119.429530201
2011-02-23,111.25,122.214765101
2011-02-24,111.36,124.161073826
2011-02-25,112.14,123.657718121
2011-02-28,111.8,125.134228188
2011-03-01,115.42,126.275167785
2011-03-02,116.35,129.496644295
2011-03-03,114.79,128.791946309
2011-03-04,115.97,129.697986577
2011-03-07,115.04,131.073825503
2011-03-08,113.06,127.483221477
2011-03-09,115.94,129.463087248
2011-03-10,115.43,129.463087248
2011-03-11,113.84,128.691275168
2011-03-14,113.67,129.261744966
2011-03-15,108.52,127.785234899
2011-03-16,110.62,128.724832215
2011-03-17,114.9,130.771812081
2011-03-18,113.93,130.503355705
2011-03-21,114.96,131.308724832
2011-03-22,115.7,132.55033557
2011-03-23,115.55,132.617449664
2011-03-24,115.72,131.77852349
2011-03-25,115.59,131.510067114
2011-03-28,114.8,131.744966443
2011-03-29,115.16,131.308724832
2011-03-30,115.13,131.275167785
2011-03-31,117.36,133.288590604
2011-04-01,118.7,134.295302013
2011-04-04,121.06,135.402684564
2011-04-05,122.22,137.11409396
2011-04-06,122.3,137.651006711
2011-04-07,122.67,137.516778523
2011-04-08,126.65,141.342281879
2011-04-11,123.98,141.006711409
2011-04-12,120.92,141.006711409
2011-04-13,122.88,136.208053691
2011-04-14,122.36,135.906040268
2011-04-15,123.45,137.516778523
2011-04-18,121.61,134.865771812
2011-04-19,121.33,134.261744966
2011-04-20,123.85,136.979865772
2011-04-21,123.99,136.10738255
2011-04-25,123.66,135.469798658
2011-04-26,124.14,136.610738255
2011-04-27,125.13,137.483221477
2011-04-28,125.02,139.362416107
2011-04-29,125.89,138.724832215
2011-05-02,125.12,139.563758389
2011-05-03,122.45,136.77852349
2011-05-04,121.19,133.993288591
2011-05-05,110.8,125.939597315
2011-05-06,109.13,124.630872483
2011-05-09,115.9,123.456375839
2011-05-10,117.63,126.342281879
2011-05-11,112.57,125.134228188
2011-05-12,112.98,125.134228188
2011-05-13,113.83,123.120805369
2011-05-16,112.73,124.026845638
2011-05-17,109.99,119.530201342
2011-05-18,112.3,122.785234899
2011-05-19,111.42,123.187919463
2011-05-20,112.39,122.046979866
2011-05-23,110.1,120.738255034
2011-05-24,112.53,123.389261745
2011-05-25,114.93,125.771812081
2011-05-26,115.05,126.409395973
2011-05-27,115.03,126.140939597
2011-05-30,114.68,126.543624161
2011-05-31,116.73,129.127516779
2011-06-01,114.53,128.758389262
2011-06-02,115.54,126.711409396
2011-06-03,115.84,127.617449664
2011-06-06,114.48,127.516778523
2011-06-07,116.78,128.120805369
2011-06-08,117.85,130.268456376
2011-06-09,119.57,131.140939597
2011-06-10,118.78,131.140939597
2011-06-13,119.1,132.55033557
2011-06-14,120.16,133.154362416
2011-06-15,117.1,131.342281879
2011-06-16,114.02,127.348993289
2011-06-17,113.21,126.208053691
2011-06-20,111.69,125.167785235
2011-06-21,110.95,123.657718121
2011-06-22,114.21,124.362416107
2011-06-23,107.26,119.32885906
2011-06-24,105.12,117.382550336
2011-06-27,105.99,117.248322148
2011-06-28,108.78,119.563758389
2011-06-29,112.4,123.926174497
2011-06-30,112.48,124.362416107
2011-07-01,111.77,122.11409396
2011-07-04,111.39,122.919463087
2011-07-05,113.61,124.630872483
2011-07-06,113.62,124.765100671
2011-07-07,118.59,128.959731544
